Month,City,Company,Total Monthly Hours,TariffRate
January,Ahmedabad,Tata Power Company Ltd.,404,7.9
June,Ahmedabad,Orient Green,1260,7.9
December,Ahmedabad,Reliance Energy,414.4,7.9
February,Ahmedabad,Adani Power Ltd.,584.8,7.9
June,Ahmedabad,Indowind Energy,1308,7.9
October,Ahmedabad,Tata Power Company Ltd.,584,7.9
November,Ahmedabad,Indowind Energy,584.8,7.9
December,Ahmedabad,Reliance Energy,530.4,7.9
June,Ahmedabad,Tata Power Company Ltd.,1416,7.9
March,Ahmedabad,Adani Power Ltd.,422,7.9
December,Ahmedabad,Orient Green,367.2,7.9
May,Ahmedabad,Tata Power Company Ltd.,1318,7.9
July,Ahmedabad,Indowind Energy,1554,7.9
December,Ahmedabad,Indowind Energy,508,7.9
November,Ahmedabad,Reliance Energy,322.4,7.9
September,Ahmedabad,Orient Green,573.6,7.9
April,Ahmedabad,Indowind Energy,640.5,7.9
June,Ahmedabad,Tata Power Company Ltd.,1689,7.9
November,Ahmedabad,Indowind Energy,489.6,7.9
July,Ahmedabad,Adani Power Ltd.,1566,7.9
December,Ahmedabad,Reliance Energy,334.4,7.9
March,Ahmedabad,Orient Green,588,7.9
August,Ahmedabad,Tata Power Company Ltd.,954,7.9
June,Ahmedabad,Orient Green,2001,7.9
July,Ahmedabad,Adani Power Ltd.,1662,7.9
November,Ahmedabad,Adani Power Ltd.,448,7.9
October,Ahmedabad,Orient Green,441,7.9
January,Ahmedabad,Orient Green,403.2,7.9
June,Ahmedabad,Tata Power Company Ltd.,1473,7.9
September,Ahmedabad,Adani Power Ltd.,734.4,7.9
September,Ahmedabad,Indowind Energy,1033.2,7.9
September,Ahmedabad,Adani Power Ltd.,750,7.9
June,Ahmedabad,Orient Green,2316,7.9
August,Ahmedabad,Indowind Energy,1014,7.9
June,Ahmedabad,Orient Green,1503,7.9
May,Ahmedabad,Reliance Energy,1368,7.9
November,Ahmedabad,Tata Power Company Ltd.,344,7.9
December,Ahmedabad,Tata Power Company Ltd.,453.6,7.9
September,Ahmedabad,Orient Green,720,7.9
December,Ahmedabad,Reliance Energy,408,7.9
June,Ahmedabad,Tata Power Company Ltd.,1734,7.9
January,Ahmedabad,Indowind Energy,461.6,7.9
July,Ahmedabad,Orient Green,1488,7.9
May,Ahmedabad,Tata Power Company Ltd.,802,7.9
January,Ahmedabad,Adani Power Ltd.,264.8,7.9
June,Ahmedabad,Orient Green,3330,7.9
February,Ahmedabad,Tata Power Company Ltd.,604.8,7.9
January,Ahmedabad,Tata Power Company Ltd.,1017.6,7.9
July,Ahmedabad,Indowind Energy,2904,7.9
January,Ahmedabad,Indowind Energy,1032,7.9
March,Ahmedabad,Orient Green,998,7.9
January,Ahmedabad,Adani Power Ltd.,716.8,7.9
January,Ahmedabad,Tata Power Company Ltd.,1259.2,7.9
December,Ahmedabad,Adani Power Ltd.,592,7.9
April,Ahmedabad,Reliance Energy,1749,7.9
August,Ahmedabad,Tata Power Company Ltd.,1959,7.9
August,Ahmedabad,Indowind Energy,1833,7.9
December,Ahmedabad,Tata Power Company Ltd.,926.4,7.9
August,Ahmedabad,Tata Power Company Ltd.,2211,7.9
May,Ahmedabad,Indowind Energy,2060,7.9
June,Ahmedabad,Tata Power Company Ltd.,2580,7.9
May,Ahmedabad,Adani Power Ltd.,2240,7.9
November,Ahmedabad,Reliance Energy,1003.2,7.9
August,Ahmedabad,Indowind Energy,1344,7.9
October,Ahmedabad,Reliance Energy,1466,7.9
January,Ahmedabad,Adani Power Ltd.,697.6,7.9
October,Ahmedabad,Indowind Energy,1366,7.9
September,Ahmedabad,Reliance Energy,1154.4,7.9
January,Ahmedabad,Indowind Energy,560,7.9
February,Ahmedabad,Tata Power Company Ltd.,364.8,7.9
June,Ahmedabad,Orient Green,2196,7.9
December,Ahmedabad,Adani Power Ltd.,937.6,7.9
February,Ahmedabad,Orient Green,944,7.9
April,Ahmedabad,Reliance Energy,1830,7.9
September,Ahmedabad,Tata Power Company Ltd.,1279.2,7.9
September,Ahmedabad,Adani Power Ltd.,1543.2,7.9
April,Ahmedabad,Orient Green,966,7.9
July,Ahmedabad,Indowind Energy,3624,7.9
June,Ahmedabad,Orient Green,2856,7.9
November,Ahmedabad,Adani Power Ltd.,798.4,7.9
October,Ahmedabad,Indowind Energy,1416,7.9
December,Ahmedabad,Tata Power Company Ltd.,912,7.9
March,Ahmedabad,Indowind Energy,914,7.9
August,Ahmedabad,Indowind Energy,1218,7.9
February,Ahmedabad,Tata Power Company Ltd.,691.2,7.9
September,Ahmedabad,Orient Green,976.8,7.9
May,Ahmedabad,Orient Green,2196,7.9
June,Ahmedabad,Tata Power Company Ltd.,2742,7.9
November,Ahmedabad,Adani Power Ltd.,384,7.9
March,Ahmedabad,Orient Green,1394,7.9
December,Ahmedabad,Tata Power Company Ltd.,1049.6,7.9
February,Ahmedabad,Indowind Energy,1136,7.9
September,Ahmedabad,Orient Green,1101.6,7.9
April,Ahmedabad,Indowind Energy,1494,7.9
February,Ahmedabad,Adani Power Ltd.,745.6,7.9
July,Ahmedabad,Orient Green,2196,7.9
August,Ahmedabad,Orient Green,1086,7.9
April,Ahmedabad,Tata Power Company Ltd.,1659,7.9
May,Ahmedabad,Tata Power Company Ltd.,1060,7.9
July,Ahmedabad,Indowind Energy,3618,7.9
November,Ahmedabad,Indowind Energy,904,7.9
July,Ahmedabad,Indowind Energy,2838,7.9
December,Ahmedabad,Tata Power Company Ltd.,590.4,7.9
August,Ahmedabad,Tata Power Company Ltd.,1224,7.9
July,Ahmedabad,Adani Power Ltd.,3162,7.9
August,Ahmedabad,Reliance Energy,2061,7.9
March,Ahmedabad,Indowind Energy,1204,7.9
July,Ahmedabad,Tata Power Company Ltd.,3774,7.9
September,Ahmedabad,Tata Power Company Ltd.,1082.4,7.9
June,Ahmedabad,Indowind Energy,3600,7.9
April,Ahmedabad,Indowind Energy,1464,7.9
February,Ahmedabad,Reliance Energy,636.8,7.9
November,Ahmedabad,Reliance Energy,950.4,7.9
June,Ahmedabad,Indowind Energy,2412,7.9
May,Ahmedabad,Orient Green,1140,7.9
August,Ahmedabad,Tata Power Company Ltd.,1320,7.9
November,Ahmedabad,Reliance Energy,1150.4,7.9
March,Ahmedabad,Tata Power Company Ltd.,1188,7.9
August,Ahmedabad,Reliance Energy,1695,7.9
July,Ahmedabad,Adani Power Ltd.,3876,7.9
October,Ahmedabad,Tata Power Company Ltd.,1196,7.9
August,Ahmedabad,Reliance Energy,1563,7.9
July,Ahmedabad,Tata Power Company Ltd.,3282,7.9
July,Ahmedabad,Indowind Energy,2784,7.9
October,Ahmedabad,Tata Power Company Ltd.,1178,7.9
August,Ahmedabad,Orient Green,1452,7.9
June,Ahmedabad,Reliance Energy,3444,7.9
September,Ahmedabad,Tata Power Company Ltd.,1521.6,7.9
October,Ahmedabad,Indowind Energy,896,7.9
December,Ahmedabad,Orient Green,1009.6,7.9
February,Ahmedabad,Adani Power Ltd.,329.6,7.9
March,Ahmedabad,Indowind Energy,712,7.9
May,Ahmedabad,Tata Power Company Ltd.,2296,7.9
November,Ahmedabad,Orient Green,1008,7.9
April,Ahmedabad,Tata Power Company Ltd.,2304,7.9
July,Ahmedabad,Orient Green,2682,7.9
September,Ahmedabad,Indowind Energy,936,7.9
July,Ahmedabad,Orient Green,3108,7.9
July,Ahmedabad,Tata Power Company Ltd.,2934,7.9
November,Ahmedabad,Tata Power Company Ltd.,1001.6,7.9
December,Ahmedabad,Tata Power Company Ltd.,875.2,7.9
May,Ahmedabad,Orient Green,2712,7.9
February,Ahmedabad,Indowind Energy,667.2,7.9
May,Ahmedabad,Orient Green,1592,7.9
February,Ahmedabad,Adani Power Ltd.,822.4,7.9
September,Ahmedabad,Tata Power Company Ltd.,952.8,7.9
January,Ahmedabad,Reliance Energy,515.2,7.9
February,Ahmedabad,Indowind Energy,894.4,7.9
September,Ahmedabad,Orient Green,1394.4,7.9
December,Ahmedabad,Indowind Energy,740.8,7.9
January,Ahmedabad,Tata Power Company Ltd.,1043.2,7.9
May,Ahmedabad,Orient Green,1632,7.9
January,Ahmedabad,Adani Power Ltd.,995.2,7.9
January,Ahmedabad,Orient Green,529.6,7.9
February,Ahmedabad,Adani Power Ltd.,414.4,7.9
December,Ahmedabad,Tata Power Company Ltd.,1182.4,7.9
June,Ahmedabad,Orient Green,3594,7.9
September,Ahmedabad,Tata Power Company Ltd.,1543.2,7.9
December,Ahmedabad,Indowind Energy,777.6,7.9
June,Ahmedabad,Adani Power Ltd.,3900,7.9
July,Ahmedabad,Adani Power Ltd.,2508,7.9
May,Ahmedabad,Orient Green,1216,7.9
August,Ahmedabad,Adani Power Ltd.,2082,7.9
May,Ahmedabad,Adani Power Ltd.,1436,7.9
April,Ahmedabad,Orient Green,1371,7.9
July,Ahmedabad,Adani Power Ltd.,2610,7.9
May,Ahmedabad,Adani Power Ltd.,2484,7.9
April,Ahmedabad,Adani Power Ltd.,1599,7.9
October,Ahmedabad,Indowind Energy,1304,7.9
August,Ahmedabad,Adani Power Ltd.,1554,7.9
March,Ahmedabad,Indowind Energy,1304,7.9
August,Ahmedabad,Reliance Energy,1158,7.9
June,Ahmedabad,Orient Green,2952,7.9
August,Ahmedabad,Indowind Energy,720,7.9
March,Ahmedabad,Tata Power Company Ltd.,962,7.9
March,Ahmedabad,Tata Power Company Ltd.,1304,7.9
April,Ahmedabad,Indowind Energy,1107,7.9
April,Ahmedabad,Adani Power Ltd.,1929,7.9
November,Ahmedabad,Tata Power Company Ltd.,921.6,7.9
January,Ahmedabad,Reliance Energy,883.2,7.9
February,Ahmedabad,Reliance Energy,675.2,7.9
December,Ahmedabad,Adani Power Ltd.,742.4,7.9
December,Ahmedabad,Reliance Energy,988.8,7.9
June,Ahmedabad,Tata Power Company Ltd.,4368,7.9
March,Ahmedabad,Adani Power Ltd.,906,7.9
April,Ahmedabad,Adani Power Ltd.,1884,7.9
January,Ahmedabad,Indowind Energy,803.2,7.9
August,Ahmedabad,Orient Green,1608,7.9
April,Ahmedabad,Indowind Energy,1854,7.9
June,Ahmedabad,Adani Power Ltd.,1950,7.9
March,Ahmedabad,Reliance Energy,716,7.9
April,Ahmedabad,Reliance Energy,1173,7.9
April,Ahmedabad,Orient Green,1350,7.9
December,Ahmedabad,Indowind Energy,694.4,7.9
July,Ahmedabad,Tata Power Company Ltd.,2682,7.9
October,Ahmedabad,Indowind Energy,1146,7.9
December,Ahmedabad,Tata Power Company Ltd.,969.6,7.9
April,Ahmedabad,Adani Power Ltd.,1611,7.9
April,Ahmedabad,Indowind Energy,1638,7.9
December,Ahmedabad,Indowind Energy,756.8,7.9
January,Ahmedabad,Reliance Energy,1052.8,7.9
September,Ahmedabad,Indowind Energy,945.6,7.9
January,Ahmedabad,Reliance Energy,993.6,7.9
April,Ahmedabad,Tata Power Company Ltd.,1650,7.9
August,Ahmedabad,Tata Power Company Ltd.,1197,7.9
November,Ahmedabad,Tata Power Company Ltd.,644.8,7.9
June,Ahmedabad,Indowind Energy,3132,7.9
May,Ahmedabad,Reliance Energy,1084,7.9
March,Ahmedabad,Indowind Energy,1222,7.9
September,Ahmedabad,Reliance Energy,1087.2,7.9
September,Ahmedabad,Adani Power Ltd.,1293.6,7.9
January,Ahmedabad,Reliance Energy,651.2,7.9
April,Ahmedabad,Indowind Energy,1419,7.9
March,Ahmedabad,Tata Power Company Ltd.,1470,7.9
October,Ahmedabad,Indowind Energy,610,7.9
September,Ahmedabad,Orient Green,1382.4,7.9
January,Ahmedabad,Orient Green,676.8,7.9
November,Ahmedabad,Adani Power Ltd.,884.8,7.9
October,Ahmedabad,Tata Power Company Ltd.,942,7.9
March,Ahmedabad,Indowind Energy,1000,7.9
February,Ahmedabad,Reliance Energy,899.2,7.9
February,Ahmedabad,Tata Power Company Ltd.,656,7.9
March,Ahmedabad,Adani Power Ltd.,1168,7.9
February,Ahmedabad,Reliance Energy,814.4,7.9
March,Ahmedabad,Orient Green,1268,7.9
July,Ahmedabad,Adani Power Ltd.,3432,7.9
February,Ahmedabad,Orient Green,787.2,7.9
February,Ahmedabad,Reliance Energy,766.4,7.9
December,Ahmedabad,Adani Power Ltd.,704,7.9
April,Ahmedabad,Adani Power Ltd.,1848,7.9
February,Ahmedabad,Reliance Energy,1041.6,7.9
May,Ahmedabad,Orient Green,1544,7.9
April,Ahmedabad,Indowind Energy,1995,7.9
March,Ahmedabad,Reliance Energy,1150,7.9
March,Ahmedabad,Reliance Energy,976,7.9
July,Ahmedabad,Indowind Energy,5220,7.9
March,Ahmedabad,Reliance Energy,1090,7.9
April,Ahmedabad,Tata Power Company Ltd.,1449,7.9
December,Ahmedabad,Orient Green,380.8,7.9
August,Ahmedabad,Reliance Energy,1929,7.9
April,Ahmedabad,Indowind Energy,1476,7.9
August,Ahmedabad,Orient Green,1563,7.9
February,Ahmedabad,Orient Green,920,7.9
April,Ahmedabad,Reliance Energy,897,7.9
June,Ahmedabad,Tata Power Company Ltd.,2070,7.9
January,Ahmedabad,Orient Green,1339.2,7.9
May,Ahmedabad,Indowind Energy,2200,7.9
August,Ahmedabad,Indowind Energy,1149,7.9
March,Ahmedabad,Adani Power Ltd.,890,7.9
September,Ahmedabad,Orient Green,590.4,7.9
October,Ahmedabad,Indowind Energy,1016,7.9
February,Ahmedabad,Adani Power Ltd.,867.2,7.9
May,Ahmedabad,Adani Power Ltd.,2572,7.9
March,Ahmedabad,Adani Power Ltd.,670,7.9
December,Ahmedabad,Indowind Energy,577.6,7.9
July,Ahmedabad,Orient Green,4332,7.9
September,Ahmedabad,Orient Green,1291.2,7.9
January,Ahmedabad,Reliance Energy,660.8,7.9
July,Ahmedabad,Tata Power Company Ltd.,3204,7.9
March,Ahmedabad,Reliance Energy,940,7.9
January,Ahmedabad,Indowind Energy,880,7.9
November,Ahmedabad,Indowind Energy,825.6,7.9
December,Ahmedabad,Tata Power Company Ltd.,771.2,7.9
March,Ahmedabad,Indowind Energy,712,7.9
December,Ahmedabad,Reliance Energy,944,7.9
November,Ahmedabad,Orient Green,1027.2,7.9
December,Ahmedabad,Indowind Energy,710.4,7.9
April,Ahmedabad,Reliance Energy,1296,7.9
October,Ahmedabad,Reliance Energy,1420,7.9
August,Ahmedabad,Orient Green,1887,7.9
February,Ahmedabad,Orient Green,572.8,7.9
March,Ahmedabad,Indowind Energy,998,7.9
June,Ahmedabad,Tata Power Company Ltd.,2730,7.9
November,Ahmedabad,Tata Power Company Ltd.,788.8,7.9
May,Ahmedabad,Indowind Energy,3116,7.9
January,Ahmedabad,Adani Power Ltd.,1017.6,7.9
April,Ahmedabad,Indowind Energy,1896,7.9
May,Ahmedabad,Adani Power Ltd.,1016,7.9
January,Ahmedabad,Reliance Energy,875.2,7.9
January,Ahmedabad,Reliance Energy,552,7.9
May,Ahmedabad,Adani Power Ltd.,3508,7.9
September,Ahmedabad,Adani Power Ltd.,710.4,7.9
May,Ahmedabad,Orient Green,1932,7.9
November,Ahmedabad,Tata Power Company Ltd.,971.2,7.9
December,Ahmedabad,Reliance Energy,1120,7.9
November,Ahmedabad,Tata Power Company Ltd.,897.6,7.9
October,Ahmedabad,Adani Power Ltd.,1108,7.9
May,Ahmedabad,Adani Power Ltd.,2664,7.9
January,Ahmedabad,Indowind Energy,1060.8,7.9
July,Ahmedabad,Adani Power Ltd.,3072,7.9
March,Ahmedabad,Tata Power Company Ltd.,958,7.9
April,Ahmedabad,Orient Green,2040,7.9
January,Ahmedabad,Reliance Energy,771.2,7.9
July,Ahmedabad,Indowind Energy,3072,7.9
December,Ahmedabad,Indowind Energy,1044.8,7.9
July,Ahmedabad,Orient Green,3762,7.9
January,Ahmedabad,Adani Power Ltd.,694.4,7.9
November,Ahmedabad,Orient Green,611.2,7.9
August,Ahmedabad,Orient Green,1842,7.9
January,Ahmedabad,Orient Green,881.6,7.9
January,Ahmedabad,Indowind Energy,753.6,7.9
December,Ahmedabad,Tata Power Company Ltd.,969.6,7.9
October,Ahmedabad,Adani Power Ltd.,1168,7.9
May,Ahmedabad,Orient Green,2148,7.9
July,Ahmedabad,Indowind Energy,2298,7.9
September,Ahmedabad,Orient Green,1442.4,7.9
November,Ahmedabad,Adani Power Ltd.,875.2,7.9
September,Ahmedabad,Indowind Energy,1521.6,7.9
November,Ahmedabad,Reliance Energy,484.8,7.9
February,Ahmedabad,Indowind Energy,985.6,7.9
December,Ahmedabad,Adani Power Ltd.,1064,7.9
February,Ahmedabad,Tata Power Company Ltd.,729.6,7.9
August,Ahmedabad,Adani Power Ltd.,2223,7.9
September,Ahmedabad,Reliance Energy,1704,7.9
November,Ahmedabad,Tata Power Company Ltd.,696,7.9
August,Ahmedabad,Indowind Energy,2019,7.9
June,Ahmedabad,Indowind Energy,2712,7.9
July,Ahmedabad,Tata Power Company Ltd.,1608,7.9
August,Ahmedabad,Tata Power Company Ltd.,1563,7.9
January,Ahmedabad,Tata Power Company Ltd.,865.6,7.9
October,Ahmedabad,Reliance Energy,962,7.9
August,Ahmedabad,Orient Green,1623,7.9
February,Ahmedabad,Orient Green,836.8,7.9
October,Ahmedabad,Indowind Energy,562,7.9
February,Ahmedabad,Indowind Energy,720,7.9
October,Ahmedabad,Reliance Energy,902,7.9
October,Ahmedabad,Tata Power Company Ltd.,918,7.9
November,Ahmedabad,Orient Green,1062.4,7.9
February,Ahmedabad,Reliance Energy,720,7.9
October,Ahmedabad,Tata Power Company Ltd.,1006,7.9
April,Ahmedabad,Orient Green,903,7.9
August,Ahmedabad,Adani Power Ltd.,1680,7.9
January,Ahmedabad,Orient Green,561.6,7.9
September,Ahmedabad,Adani Power Ltd.,1476,7.9
December,Ahmedabad,Indowind Energy,958.4,7.9
October,Ahmedabad,Reliance Energy,1522,7.9
September,Ahmedabad,Orient Green,1065.6,7.9
September,Ahmedabad,Orient Green,1548,7.9
June,Ahmedabad,Orient Green,3726,7.9
September,Ahmedabad,Tata Power Company Ltd.,1833.6,7.9
May,Chennai,Tata Power Company Ltd.,493.5,8.8
July,Chennai,Indowind Energy,1044.75,8.8
February,Chennai,Adani Power Ltd.,351.4,8.8
July,Chennai,Orient Green,903,8.8
October,Chennai,Adani Power Ltd.,489.125,8.8
November,Chennai,Adani Power Ltd.,317.8,8.8
September,Chennai,Orient Green,756,8.8
August,Chennai,Orient Green,765.1875,8.8
April,Chennai,Reliance Energy,555.1875,8.8
January,Chennai,Reliance Energy,415.8,8.8
July,Chennai,Reliance Energy,816.375,8.8
July,Chennai,Orient Green,1162.875,8.8
November,Chennai,Tata Power Company Ltd.,248.5,8.8
June,Chennai,Indowind Energy,1897.875,8.8
July,Chennai,Reliance Energy,1107.75,8.8
December,Chennai,Orient Green,263.2,8.8
December,Chennai,Reliance Energy,365.4,8.8
December,Chennai,Indowind Energy,483.7,8.8
April,Chennai,Reliance Energy,679.875,8.8
April,Chennai,Adani Power Ltd.,619.5,8.8
January,Chennai,Reliance Energy,277.9,8.8
May,Chennai,Indowind Energy,873.25,8.8
October,Chennai,Orient Green,608.125,8.8
July,Chennai,Orient Green,981.75,8.8
November,Chennai,Adani Power Ltd.,301.7,8.8
April,Chennai,Adani Power Ltd.,643.125,8.8
July,Chennai,Adani Power Ltd.,1170.75,8.8
August,Chennai,Orient Green,591.9375,8.8
February,Chennai,Indowind Energy,203.7,8.8
December,Chennai,Indowind Energy,381.5,8.8
February,Chennai,Orient Green,355.6,8.8
January,Chennai,Tata Power Company Ltd.,361.9,8.8
January,Chennai,Orient Green,344.4,8.8
October,Chennai,Adani Power Ltd.,417.375,8.8
June,Chennai,Orient Green,1496.25,8.8
June,Chennai,Indowind Energy,1309.875,8.8
September,Chennai,Adani Power Ltd.,618.45,8.8
January,Chennai,Adani Power Ltd.,229.6,8.8
June,Chennai,Tata Power Company Ltd.,2189.25,8.8
August,Chennai,Tata Power Company Ltd.,591.9375,8.8
May,Chennai,Tata Power Company Ltd.,708.75,8.8
September,Chennai,Orient Green,291.9,8.8
February,Chennai,Indowind Energy,453.6,8.8
September,Chennai,Indowind Energy,410.55,8.8
January,Chennai,Indowind Energy,345.1,8.8
October,Chennai,Orient Green,471.625,8.8
November,Chennai,Adani Power Ltd.,257.6,8.8
March,Chennai,Indowind Energy,434,8.8
June,Chennai,Reliance Energy,1556.625,8.8
January,Chennai,Reliance Energy,342.3,8.8
May,Chennai,Reliance Energy,841.75,8.8
January,Chennai,Adani Power Ltd.,271.6,8.8
August,Chennai,Adani Power Ltd.,796.6875,8.8
August,Chennai,Indowind Energy,557.8125,8.8
January,Chennai,Orient Green,388.5,8.8
December,Chennai,Reliance Energy,334.6,8.8
January,Chennai,Indowind Energy,196.7,8.8
March,Chennai,Reliance Energy,387.625,8.8
November,Chennai,Indowind Energy,567.7,8.8
February,Chennai,Reliance Energy,423.5,8.8
June,Chennai,Tata Power Company Ltd.,1254.75,8.8
February,Chennai,Adani Power Ltd.,334.6,8.8
March,Chennai,Orient Green,252,8.8
August,Chennai,Reliance Energy,698.25,8.8
February,Chennai,Indowind Energy,271.6,8.8
March,Chennai,Adani Power Ltd.,531.125,8.8
March,Chennai,Orient Green,391.125,8.8
August,Chennai,Indowind Energy,829.5,8.8
November,Chennai,Reliance Energy,448.7,8.8
February,Chennai,Indowind Energy,358.4,8.8
May,Chennai,Reliance Energy,894.25,8.8
July,Chennai,Adani Power Ltd.,1454.25,8.8
October,Chennai,Indowind Energy,560.875,8.8
October,Chennai,Adani Power Ltd.,522.375,8.8
September,Chennai,Tata Power Company Ltd.,709.8,8.8
July,Chennai,Adani Power Ltd.,1459.5,8.8
February,Chennai,Reliance Energy,293.3,8.8
December,Chennai,Adani Power Ltd.,535.5,8.8
July,Chennai,Indowind Energy,1404.375,8.8
October,Chennai,Tata Power Company Ltd.,418.25,8.8
August,Chennai,Tata Power Company Ltd.,511.875,8.8
January,Chennai,Tata Power Company Ltd.,273,8.8
April,Chennai,Adani Power Ltd.,780.9375,8.8
December,Chennai,Orient Green,174.3,8.8
January,Chennai,Indowind Energy,516.6,8.8
March,Chennai,Reliance Energy,293.125,8.8
January,Chennai,Orient Green,198.1,8.8
July,Chennai,Tata Power Company Ltd.,1023.75,8.8
January,Chennai,Reliance Energy,399.7,8.8
April,Chennai,Reliance Energy,735,8.8
September,Chennai,Tata Power Company Ltd.,686.7,8.8
February,Chennai,Orient Green,385.7,8.8
July,Chennai,Orient Green,1344,8.8
January,Chennai,Orient Green,610.4,8.8
July,Chennai,Reliance Energy,979.125,8.8
July,Chennai,Reliance Energy,1260,8.8
August,Chennai,Indowind Energy,591.9375,8.8
November,Chennai,Adani Power Ltd.,382.2,8.8
January,Chennai,Indowind Energy,399.7,8.8
January,Chennai,Adani Power Ltd.,287,8.8
January,Chennai,Reliance Energy,256.9,8.8
July,Chennai,Orient Green,1220.625,8.8
January,Chennai,Reliance Energy,242.2,8.8
August,Chennai,Tata Power Company Ltd.,459.375,8.8
December,Chennai,Orient Green,386.4,8.8
January,Chennai,Adani Power Ltd.,298.9,8.8
December,Chennai,Adani Power Ltd.,277.9,8.8
May,Chennai,Reliance Energy,945,8.8
September,Chennai,Tata Power Company Ltd.,420,8.8
September,Chennai,Orient Green,674.1,8.8
September,Chennai,Tata Power Company Ltd.,295.05,8.8
September,Chennai,Tata Power Company Ltd.,579.6,8.8
